
Chose device: name='Vivante OpenCL Device' index=0 id=0x2ac2f720

test    atts    units    median    mean    stddev    min    max    trial0    trial1    trial2    trial3    trial4    trial5    trial6    trial7    trial8    trial9   
Mul8-SP    Size:2097152    GFLOPS    3.00563    3.00554    0.000318119    3.00462    3.00581    3.00566    3.00581    3.00568    3.00568    3.00462    3.0056    3.00553    3.00553    3.00557    3.00571   
MulMAdd1-DP    DP_Not_Supported    GFLOPS    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A   
MulMAdd1-SP    Size:2097152    GFLOPS    nan    inf    nan    N/A    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf   
MulMAdd2-DP    DP_Not_Supported    GFLOPS    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A   
MulMAdd2-SP    Size:2097152    GFLOPS    nan    inf    nan    N/A    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf   
MulMAdd4-DP    DP_Not_Supported    GFLOPS    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A   
MulMAdd4-SP    Size:2097152    GFLOPS    4.67574    4.67564    0.000557026    4.67411    4.67622    4.676    4.67574    4.67608    4.67411    4.67574    4.67622    4.67565    4.67573    4.67538    4.67577   
MulMAdd8-DP    DP_Not_Supported    GFLOPS    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A   
MulMAdd8-SP    Size:2097152    GFLOPS    nan    inf    nan    N/A    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf   
MulMAddU-DP    DP_Not_Supported    GFLOPS    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A    N/A   
MulMAddU-SP    Size:4194304    GFLOPS    3.37375    3.37357    0.000497007    3.37211    3.37383    3.37211    3.37345    3.37371    3.37366    3.37371    3.37378    3.37382    3.37383    3.37378    3.37382   

Note: Any results marked with (*) had missing values.
      This can occur on systems with a mixture of
      device types or architectural capabilities.

